hamming_distance,split_a,split_b,class_name,path_a,path_b
3,train,test,Soybean___healthy,train\Soybean___healthy\326965ac-9077-4a45-b40e-4824bd8fec1f___RS_HL 5697.JPG,val\Soybean___healthy\2df4be84-b5fa-4c69-a8e8-4e440910ec48___RS_HL 5709.JPG
3,train,validation,Soybean___healthy,train\Soybean___healthy\ace64f16-0e82-4f86-b972-4fc338a8b399___RS_HL 6089.JPG,val\Soybean___healthy\ce9305d4-d9bc-45f6-81b1-294e9e8f2115___RS_HL 6087.JPG
3,train,validation,Soybean___healthy,train\Soybean___healthy\eb6da00a-4294-476a-b2da-210005874d4d___RS_HL 5804.JPG,val\Soybean___healthy\e020e9ae-583f-4e58-bb03-7dfe4fbfe7e4___RS_HL 5806.JPG
4,train,validation,Blueberry___healthy,train\Blueberry___healthy\78128cc7-ab5b-4820-a3a3-413952dc0ab5___RS_HL 2600.JPG,val\Blueberry___healthy\ed4cbad2-ce47-47c0-83af-8948c6243ffe___RS_HL 2529.JPG
4,train,test,Blueberry___healthy,train\Blueberry___healthy\a0fef3ff-ee9a-4e33-a5e2-7c09e93a727d___RS_HL 4948.JPG,val\Blueberry___healthy\8373d4c7-1978-4ec0-ab79-fccfefba9917___RS_HL 0313.JPG
4,train,validation,Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\17a1b5f6-cd54-4c25-b9b5-23e098ac16d0___FREC_Pwd.M 0542.JPG,val\Cherry_(including_sour)___Powdery_mildew\e7fe2094-95a1-40fe-ba1d-687ab0756edb___FREC_Pwd.M 0541.JPG
4,train,validation,Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\26dc2692-b056-4e8b-99c5-05ebd249718a___FREC_Pwd.M 4578.JPG,val\Cherry_(including_sour)___Powdery_mildew\dffc80c0-ea6e-4122-8be4-c140a0dee06e___FREC_Pwd.M 4581.JPG
4,train,validation,Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\45738ed0-df8b-4fcb-ac68-8393fcacbfec___FREC_Pwd.M 0498.JPG,val\Cherry_(including_sour)___Powdery_mildew\0711a85e-1e8f-47a3-a9ce-841af3f77544___FREC_Pwd.M 0497.JPG
4,train,validation,Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\6549d4d7-4649-4059-8f94-e106f268119c___FREC_Pwd.M 0458.JPG,val\Cherry_(including_sour)___Powdery_mildew\0b6b9fbc-9c62-4be9-bfc2-ff3126de6458___FREC_Pwd.M 0459.JPG
4,train,test,Grape___Black_rot,train\Grape___Black_rot\1f20a91e-f33c-4e38-937d-ee259477211e___FAM_B.Rot 5016.JPG,val\Grape___Black_rot\9fa2219a-57c9-4938-9221-0365a180397d___FAM_B.Rot 0751.JPG
4,train,test,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\58bafe86-441f-4cba-a6e7-5dd2cdec7ebf___UF.Citrus_HLB_Lab 1749.JPG,val\Orange___Haunglongbing_(Citrus_greening)\f3f03566-1426-45b3-a65d-020f82dabf9a___UF.Citrus_HLB_Lab 1533.JPG
4,train,validation,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\624e5e65-ea40-4205-a41e-916ea0744d9e___UF.Citrus_HLB_Lab 9893.JPG,val\Orange___Haunglongbing_(Citrus_greening)\93a780c3-646d-47fd-835b-b63548183479___UF.Citrus_HLB_Lab 1247.JPG
4,train,test,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\7dc7d750-5166-4466-8d19-1065d6d53966___CREC_HLB 4859.JPG,val\Orange___Haunglongbing_(Citrus_greening)\f9f6905b-f565-4c06-ac24-bcf49604a07a___CREC_HLB 4567.JPG
4,train,test,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\9ab3df99-006f-455b-a192-abb9c1ee8e1b___CREC_HLB 7357.JPG,val\Orange___Haunglongbing_(Citrus_greening)\d4321397-7d92-4ae0-9021-3892c7c75658___CREC_HLB 4808.JPG
4,train,validation,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\9f5baea2-2e3d-477a-9f71-533564199551___CREC_HLB 7436.JPG,val\Orange___Haunglongbing_(Citrus_greening)\4104c71d-4f0a-4bb0-987d-26e662d57c93___CREC_HLB 5017.JPG
4,train,validation,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\a28855c0-0d61-4a1e-8ec7-34d9de50e4ad___CREC_HLB 7440.JPG,val\Orange___Haunglongbing_(Citrus_greening)\0d1c81c8-6d72-42f1-9c71-18055e275a50___CREC_HLB 7416.JPG
4,train,test,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\ba8af517-ae00-474e-b6a7-9b5031419cf4___CREC_HLB 4220.JPG,val\Orange___Haunglongbing_(Citrus_greening)\634f2182-7b79-4cd4-8272-316e26c2a855___CREC_HLB 4160.JPG
4,train,test,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\d7a6cd79-4470-4c89-8c77-1f1bdf0daa90___UF.Citrus_HLB_Lab 9963.JPG,val\Orange___Haunglongbing_(Citrus_greening)\993037e3-6118-44aa-aff0-dfc09189201b___UF.Citrus_HLB_Lab 9965.JPG
4,train,test,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\da3c354c-1658-4e44-9658-701ff6cb812a___CREC_HLB 4248.JPG,val\Orange___Haunglongbing_(Citrus_greening)\66ad4a26-7bc2-4c6f-a04b-5ff6a75d17bc___CREC_HLB 4249.JPG
4,train,validation,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\e7e9fd00-e65b-4797-9d97-f806bd3035bd___UF.Citrus_HLB_Lab 1115.JPG,val\Orange___Haunglongbing_(Citrus_greening)\7800f56e-be59-467d-93dc-48a9a973a5a6___UF.Citrus_HLB_Lab 1114.JPG
4,train,validation,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\fb8a80b2-c696-4349-bb97-5b7fb244aa7a___UF.Citrus_HLB_Lab 1412.JPG,val\Orange___Haunglongbing_(Citrus_greening)\72bdbde7-f456-429c-92b3-5a8c25847c46___UF.Citrus_HLB_Lab 1422.JPG
4,validation,test,Orange___Haunglongbing_(Citrus_greening),val\Orange___Haunglongbing_(Citrus_greening)\11bdfcfd-efbc-48d1-9623-e3a91da5a3d5___UF.Citrus_HLB_Lab 1216.JPG,val\Orange___Haunglongbing_(Citrus_greening)\6de27421-3bfe-49b7-a21f-1a50caf7a1dc___UF.Citrus_HLB_Lab 1217.JPG
4,train,validation,"Pepper,_bell___healthy","train\Pepper,_bell___healthy\b39dd01c-b297-4d3f-ad79-c06a488a99cd___JR_HL 8268.JPG","val\Pepper,_bell___healthy\49b4fd49-ffc0-40c3-ad76-452b933d58c7___JR_HL 8267.JPG"
4,validation,test,"Pepper,_bell___healthy","val\Pepper,_bell___healthy\9b2cfd07-d31c-4bc5-b055-dbb36090a4b1___JR_HL 8411.JPG","val\Pepper,_bell___healthy\79fb9f7d-f4e1-4e0e-9968-b2e3ab9f8953___JR_HL 8409.JPG"
4,train,test,Soybean___healthy,train\Soybean___healthy\041e24bf-c886-48f3-848c-2207a78d667c___RS_HL 5813.JPG,val\Soybean___healthy\0077d9d2-1a29-4b39-a992-125a5a676ae7___RS_HL 5815.JPG
4,train,test,Soybean___healthy,train\Soybean___healthy\05ef443c-075a-4f36-aa2a-02de3dece6d0___RS_HL 6739.JPG,val\Soybean___healthy\2fdd3db7-67cd-4b86-97bd-a845d9d9bbbe___RS_HL 6737.JPG
4,train,test,Soybean___healthy,train\Soybean___healthy\0f04ef1e-2a20-4986-9530-40707c70b708___RS_HL 7145.JPG,val\Soybean___healthy\1f437b37-c648-45f3-a5f8-323cbb5bde35___RS_HL 7166.JPG
4,train,validation,Soybean___healthy,train\Soybean___healthy\129b4bf9-3b3e-4bbf-a6bc-cde6e6411e0b___RS_HL 6253.JPG,val\Soybean___healthy\90b0dd6d-ec2e-43ee-a7d2-c9d2efb52f47___RS_HL 6241.JPG
4,train,test,Soybean___healthy,train\Soybean___healthy\2f99080a-2e4d-4d11-b658-8f60f64931cb___RS_HL 7161.JPG,val\Soybean___healthy\1920024b-9501-4176-bbca-456a07697894___RS_HL 3489.JPG
4,train,test,Soybean___healthy,train\Soybean___healthy\401410e3-4bbd-4f56-8ac0-eaa19cbf2a72___RS_HL 6360.JPG,val\Soybean___healthy\3fdaad53-d03b-4531-af28-34ab7969e2f3___RS_HL 6359.JPG
4,train,validation,Soybean___healthy,train\Soybean___healthy\5b2c683d-fdb7-4bf0-89d9-73d1b3772dae___RS_HL 4169.JPG,val\Soybean___healthy\f727ff89-4e0d-4aa7-939a-dd944b763136___RS_HL 5682.JPG
4,train,validation,Soybean___healthy,train\Soybean___healthy\6099a20b-61bc-40c6-9f74-9d64ee57f24a___RS_HL 6070.JPG,val\Soybean___healthy\04bc7e4f-8fea-40cd-a4d3-4c83c823c526___RS_HL 6072.JPG
4,train,test,Soybean___healthy,train\Soybean___healthy\c7c45837-d586-40ca-b0d2-37f0c05831a5___RS_HL 6715.JPG,val\Soybean___healthy\0e7617e5-8ef1-45be-83ca-04465a10f5de___RS_HL 6717.JPG
4,validation,test,Soybean___healthy,val\Soybean___healthy\5a985f88-c14d-4321-a037-8b4f26509367___RS_HL 7215.JPG,val\Soybean___healthy\1e9d1f80-d7c3-45dd-8587-c465ae6f7e4e___RS_HL 7216.JPG
4,validation,test,Soybean___healthy,val\Soybean___healthy\6f8693a0-9f00-4c8d-b57b-217dac181680___RS_HL 5860.JPG,val\Soybean___healthy\04f9ace6-096a-40ab-8e3b-2a3be9eb8464___RS_HL 5862.JPG
4,train,validation,Tomato___Late_blight,train\Tomato___Late_blight\1e65a5c4-ba60-4edb-817c-c281d5a5e364___GHLB2 Leaf 9079.JPG,val\Tomato___Late_blight\08f6ed0a-4cd0-4bd3-8983-469002cad2d9___GHLB2 Leaf 9078.JPG
4,train,validation,Tomato___Spider_mites Two-spotted_spider_mite,train\Tomato___Spider_mites Two-spotted_spider_mite\8d99fef6-aef1-4e74-84c4-eb713aaef8af___Com.G_SpM_FL 8726.JPG,val\Tomato___Spider_mites Two-spotted_spider_mite\e7b889f3-d580-426e-83fb-6519f43935ef___Com.G_SpM_FL 8690.JPG
4,train,validation,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\4072f0fe-3af2-4d19-acf6-a55f3c36ad55___UF.GRC_YLCV_Lab 01811.JPG,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\bc47e567-3939-4a00-b4e6-828688e3ac2a___UF.GRC_YLCV_Lab 01818.JPG
4,train,validation,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f390848d-e427-4c8e-8e93-0772e9f91fc8___UF.GRC_YLCV_Lab 01668.JPG,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\180ef991-3ed2-41d8-93b6-c1791d745669___UF.GRC_YLCV_Lab 01678.JPG
4,train,validation,Tomato___healthy,train\Tomato___healthy\973c9431-f521-462d-82fa-442196087ca8___GH_HL Leaf 204.1.JPG,val\Tomato___healthy\8d4a3b2d-bcef-4861-a0a0-c3cb0a1990ce___GH_HL Leaf 204.JPG
4,train,validation,Tomato___healthy,train\Tomato___healthy\d5beabbd-afc7-41c5-aa06-ec45c32e751e___GH_HL Leaf 289.1.JPG,val\Tomato___healthy\eab401a8-c014-4a63-98d4-b6144cfc7bc9___GH_HL Leaf 289.JPG
4,train,validation,Tomato___healthy,train\Tomato___healthy\e8d0f3de-312b-4316-aca4-798a51ebd423___GH_HL Leaf 520.1.JPG,val\Tomato___healthy\96d85e53-b980-42f7-8e3d-cd6f7ec9c287___GH_HL Leaf 520.5.JPG
