hamming_distance,removed_path,removed_split,protected_path,protected_split,reason
4,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1240c7a7-a64a-4659-8849-5451c205208d___UF.GRC_YLCV_Lab 01888.JPG,train,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\08f78a80-46f5-45a6-937c-4d05d61c08c2___UF.GRC_YLCV_Lab 01895.JPG,test,strict_cross_split_dhash_quarantine
2,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1240c7a7-a64a-4659-8849-5451c205208d___UF.GRC_YLCV_Lab 01888.JPG,train,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\fcdfc17c-1a1b-48df-8612-740f3a50fcbd___UF.GRC_YLCV_Lab 01892.JPG,test,strict_cross_split_dhash_quarantine
4,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\19ead445-c37c-4a22-b3fb-02510e66b553___UF.GRC_YLCV_Lab 01388.JPG,train,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\b379ab04-3780-4283-b388-2a038b773d79___UF.GRC_YLCV_Lab 01389.JPG,test,strict_cross_split_dhash_quarantine
3,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\2ed63cde-c59e-45df-a38b-ee87197908bb___UF.GRC_YLCV_Lab 01623.JPG,train,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\7c215f7a-4aaf-4461-a727-7e4777daa562___UF.GRC_YLCV_Lab 01624.JPG,test,strict_cross_split_dhash_quarantine
4,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\906f8e46-f387-4d39-9d7d-08df032222e0___UF.GRC_YLCV_Lab 02498.JPG,train,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\fa16f530-1e23-4a86-acb1-1ff53dd49e37___UF.GRC_YLCV_Lab 02499.JPG,validation,strict_cross_split_dhash_quarantine
4,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\a193e214-3a19-410d-8467-63eafff67aea___UF.GRC_YLCV_Lab 01457.JPG,train,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\89f4ab7d-764f-4df5-b244-51c50ce68836___UF.GRC_YLCV_Lab 01460.JPG,test,strict_cross_split_dhash_quarantine
3,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\c91b0581-41e8-48a5-9807-842ee3ba12ef___UF.GRC_YLCV_Lab 08495.JPG,train,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\46476c84-3651-4706-af74-ccda9fb43719___UF.GRC_YLCV_Lab 08496.JPG,test,strict_cross_split_dhash_quarantine
4,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\def16316-85f6-44e8-98fc-e48820caf2d9___UF.GRC_YLCV_Lab 02471.JPG,train,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\3809d16d-8e37-4acc-a22b-8089903525e1___UF.GRC_YLCV_Lab 02457.JPG,test,strict_cross_split_dhash_quarantine
4,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\ea824bff-58c4-402e-936c-70bc49912701___UF.GRC_YLCV_Lab 02667.JPG,train,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\5741aac8-276f-4654-afc7-ebb939c3d4b8___UF.GRC_YLCV_Lab 02665.JPG,test,strict_cross_split_dhash_quarantine
4,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f390848d-e427-4c8e-8e93-0772e9f91fc8___UF.GRC_YLCV_Lab 01668.JPG,train,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\180ef991-3ed2-41d8-93b6-c1791d745669___UF.GRC_YLCV_Lab 01678.JPG,test,strict_cross_split_dhash_quarantine
3,train\Tomato___healthy\16c1b712-2c55-4a8d-899f-cc0e725d4835___GH_HL Leaf 314.JPG,train,train\Tomato___healthy\264a08a7-74a4-4492-aff1-8a3ab8b35c46___GH_HL Leaf 314.1.JPG,validation,strict_cross_split_dhash_quarantine
4,train\Tomato___healthy\973c9431-f521-462d-82fa-442196087ca8___GH_HL Leaf 204.1.JPG,train,val\Tomato___healthy\8d4a3b2d-bcef-4861-a0a0-c3cb0a1990ce___GH_HL Leaf 204.JPG,test,strict_cross_split_dhash_quarantine
3,val\Corn_(maize)___healthy\f73f38b8-0938-44f2-a229-6baa3114fe40___R.S_HL 0630 copy 3.jpg,train,train\Corn_(maize)___healthy\d2eeaaf5-97f6-4fc0-a2b5-09e98e483648___R.S_HL 0630 copy.jpg,validation,strict_cross_split_dhash_quarantine
4,val\Orange___Haunglongbing_(Citrus_greening)\f9f6905b-f565-4c06-ac24-bcf49604a07a___CREC_HLB 4567.JPG,train,train\Orange___Haunglongbing_(Citrus_greening)\7dc7d750-5166-4466-8d19-1065d6d53966___CREC_HLB 4859.JPG,test,strict_cross_split_dhash_quarantine
3,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1d7ce115-b719-4236-948f-5640817b43c3___UF.GRC_YLCV_Lab 02829.JPG,train,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\8d6df373-91b8-4ae8-b358-e9d57a6f3d54___UF.GRC_YLCV_Lab 02828.JPG,validation,strict_cross_split_dhash_quarantine
4,train\Orange___Haunglongbing_(Citrus_greening)\e5e2cdea-35bb-4833-a48a-88bfdf0e9ab0___CREC_HLB 7571.JPG,validation,train\Orange___Haunglongbing_(Citrus_greening)\43a17ced-e9e8-459d-9bc3-65e8fafa75c0___CREC_HLB 3935.JPG,test,strict_cross_split_dhash_quarantine
4,train\Peach___Bacterial_spot\ece1262c-6f66-4c46-bc59-7d2db3b27273___Rutg._Bact.S 2384.JPG,validation,train\Peach___Bacterial_spot\09e1e0ed-2535-496e-885d-a51999b51820___Rut._Bact.S 0988.JPG,test,strict_cross_split_dhash_quarantine
3,train\Tomato___Late_blight\16e4a1f9-21c2-4c1a-bdbc-1336da74ba2c___GHLB2 Leaf 145.3.JPG,validation,train\Tomato___Late_blight\cebd5337-bb61-4454-93da-bba4169f0802___GHLB2 Leaf 145.JPG,test,strict_cross_split_dhash_quarantine
4,val\Orange___Haunglongbing_(Citrus_greening)\f3f03566-1426-45b3-a65d-020f82dabf9a___UF.Citrus_HLB_Lab 1533.JPG,validation,train\Orange___Haunglongbing_(Citrus_greening)\58bafe86-441f-4cba-a6e7-5dd2cdec7ebf___UF.Citrus_HLB_Lab 1749.JPG,test,strict_cross_split_dhash_quarantine
