hamming_distance,strict_threshold_match,split_pair,class_name,path_a,path_b,leaf_id_a,leaf_id_b,involves_unmapped_leaf,embedding_cosine,gray_pixel_correlation,rgb_mae,pixel_review_flag,embedding_review_flag,manual_review_priority
3,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\46476c84-3651-4706-af74-ccda9fb43719___UF.GRC_YLCV_Lab 08496.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\c91b0581-41e8-48a5-9807-842ee3ba12ef___UF.GRC_YLCV_Lab 08495.JPG,,,True,0.9504431486129761,0.8326334965319913,0.08659425377845764,False,False,True
4,True,test--train,Grape___healthy,train\Grape___healthy\94ff1dad-4284-4b83-ae37-988cc12c2006___Mt.N.V_HL 8939.JPG,train\Grape___healthy\dcf0b467-3d86-49b9-991e-00f5b82465c7___Mt.N.V_HL 8935.JPG,,,True,0.947171151638031,0.7125469652677955,0.09453153610229492,False,False,True
3,True,test--validation,Tomato___Late_blight,train\Tomato___Late_blight\cebd5337-bb61-4454-93da-bba4169f0802___GHLB2 Leaf 145.JPG,train\Tomato___Late_blight\16e4a1f9-21c2-4c1a-bdbc-1336da74ba2c___GHLB2 Leaf 145.3.JPG,,,True,0.9446324110031128,0.8119931801403782,0.05749569833278656,False,False,True
3,True,train--validation,Tomato___Tomato_Yellow_Leaf_Curl_Virus,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1d7ce115-b719-4236-948f-5640817b43c3___UF.GRC_YLCV_Lab 02829.JPG,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\8d6df373-91b8-4ae8-b358-e9d57a6f3d54___UF.GRC_YLCV_Lab 02828.JPG,,,True,0.9331787824630737,0.8015239160259658,0.06068416312336922,False,False,True
3,True,train--validation,Tomato___Late_blight,train\Tomato___Late_blight\bf0b58c2-1d95-4f37-80ea-1bcd82e9c59b___GHLB2 Leaf 145.4.JPG,train\Tomato___Late_blight\16e4a1f9-21c2-4c1a-bdbc-1336da74ba2c___GHLB2 Leaf 145.3.JPG,,,True,0.9290812015533447,0.7770428602220633,0.06381735950708389,False,False,True
4,True,test--train,Tomato___healthy,val\Tomato___healthy\8d4a3b2d-bcef-4861-a0a0-c3cb0a1990ce___GH_HL Leaf 204.JPG,train\Tomato___healthy\973c9431-f521-462d-82fa-442196087ca8___GH_HL Leaf 204.1.JPG,,,True,0.9288769960403442,0.47970887786527233,0.07822441309690475,False,False,True
4,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\3809d16d-8e37-4acc-a22b-8089903525e1___UF.GRC_YLCV_Lab 02457.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\def16316-85f6-44e8-98fc-e48820caf2d9___UF.GRC_YLCV_Lab 02471.JPG,,,True,0.9271535873413086,0.8121285154922235,0.06351521611213684,False,False,True
4,True,train--validation,Tomato___Late_blight,train\Tomato___Late_blight\7f533ee8-1d72-486e-b2a6-b5ef2ac7cc88___GHLB2 Leaf 8837.JPG,train\Tomato___Late_blight\2159d0f7-09ef-46ad-ad49-749e8ce1becc___GHLB2 Leaf 8836.JPG,,,True,0.9183619618415833,0.7686140668825168,0.04145133122801781,False,False,True
4,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\5741aac8-276f-4654-afc7-ebb939c3d4b8___UF.GRC_YLCV_Lab 02665.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\ea824bff-58c4-402e-936c-70bc49912701___UF.GRC_YLCV_Lab 02667.JPG,,,True,0.915951132774353,0.6748356431008715,0.09061846137046814,False,False,True
4,True,train--validation,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\906f8e46-f387-4d39-9d7d-08df032222e0___UF.GRC_YLCV_Lab 02498.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\fa16f530-1e23-4a86-acb1-1ff53dd49e37___UF.GRC_YLCV_Lab 02499.JPG,,,True,0.9128175973892212,0.7633929838741755,0.09337705373764038,False,False,True
2,True,test--train,Tomato___Septoria_leaf_spot,train\Tomato___Septoria_leaf_spot\a11dad0c-2ed0-4d57-bd0b-0b19a0d7f17c___Matt.S_CG 2622.JPG,train\Tomato___Septoria_leaf_spot\17e3282e-f327-4245-95b1-a4fee7b33838___Matt.S_CG 2619.JPG,Tomato___Septoria_leaf_spot:::88.0,Tomato___Septoria_leaf_spot:::87.0,False,0.9565328359603882,0.6578104901421996,0.07964480668306351,False,False,False
4,True,test--train,Soybean___healthy,val\Soybean___healthy\1920024b-9501-4176-bbca-456a07697894___RS_HL 3489.JPG,train\Soybean___healthy\2f99080a-2e4d-4d11-b658-8f60f64931cb___RS_HL 7161.JPG,Soybean___healthy:::86.0,Soybean___healthy:::476.0,False,0.9387747049331665,0.60933100328913,0.12412210553884506,False,False,False
4,True,test--train,Orange___Haunglongbing_(Citrus_greening),val\Orange___Haunglongbing_(Citrus_greening)\634f2182-7b79-4cd4-8272-316e26c2a855___CREC_HLB 4160.JPG,train\Orange___Haunglongbing_(Citrus_greening)\ba8af517-ae00-474e-b6a7-9b5031419cf4___CREC_HLB 4220.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_74.0,Orange___Haunglongbing_(Citrus_greening):::OCT_89.0,False,0.9219116568565369,0.8768725646104331,0.08151518553495407,False,False,False
4,True,test--train,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),train\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\c08c3e56-4192-40a6-9b51-8733e642dafa___FAM_L.Blight 1422.JPG,train\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\9be77817-23c5-469e-8363-eb1d115f9bb0___FAM_L.Blight 1470.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot):::28.0,Grape___Leaf_blight_(Isariopsis_Leaf_Spot):::40.0,False,0.9129449725151062,0.7379654944269012,0.09310823678970337,False,False,False
4,True,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\11281e98-333a-4252-9e79-be353024a033___CREC_HLB 4776.JPG,train\Orange___Haunglongbing_(Citrus_greening)\67c00966-9be7-4fea-a944-9e936837e3de___CREC_HLB 4766.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_226.0,Orange___Haunglongbing_(Citrus_greening):::OCT_224.0,False,0.9083887338638306,0.7709632903900673,0.10322576761245728,False,False,False
4,True,test--validation,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\58bafe86-441f-4cba-a6e7-5dd2cdec7ebf___UF.Citrus_HLB_Lab 1749.JPG,val\Orange___Haunglongbing_(Citrus_greening)\f3f03566-1426-45b3-a65d-020f82dabf9a___UF.Citrus_HLB_Lab 1533.JPG,Orange___Haunglongbing_(Citrus_greening):::110.0,Orange___Haunglongbing_(Citrus_greening):::96.0,False,0.8984439373016357,0.6453672726900122,0.07128613442182541,False,False,False
3,True,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\bfc23629-c9cd-4c81-b6b0-d11f07dbc204___CREC_HLB 7824.JPG,train\Orange___Haunglongbing_(Citrus_greening)\26680011-8f2c-4099-b7ff-574a349d1146___CREC_HLB 7242.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_815.0,Orange___Haunglongbing_(Citrus_greening):::OCT_671.0,False,0.8721054792404175,0.8222026727764994,0.12386196106672287,False,False,False
4,True,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\ffc0847a-e88d-4332-8c7c-4b63ba65a471___FAM_B.Msls 1130.JPG,train\Grape___Esca_(Black_Measles)\49c6ee9e-8bc4-4187-82db-b9caba8bb168___FAM_B.Msls 1134.JPG,Grape___Esca_(Black_Measles):::77.0,Grape___Esca_(Black_Measles):::78.0,False,0.8685938715934753,0.6538749661778696,0.1632070690393448,False,False,False
4,True,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\7dc7d750-5166-4466-8d19-1065d6d53966___CREC_HLB 4859.JPG,val\Orange___Haunglongbing_(Citrus_greening)\f9f6905b-f565-4c06-ac24-bcf49604a07a___CREC_HLB 4567.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_247.0,Orange___Haunglongbing_(Citrus_greening):::OCT_175.0,False,0.8625442385673523,0.7140618270997499,0.1133783757686615,False,False,False
4,True,test--validation,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\43a17ced-e9e8-459d-9bc3-65e8fafa75c0___CREC_HLB 3935.JPG,train\Orange___Haunglongbing_(Citrus_greening)\e5e2cdea-35bb-4833-a48a-88bfdf0e9ab0___CREC_HLB 7571.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_18.0,Orange___Haunglongbing_(Citrus_greening):::OCT_752.0,False,0.8616155385971069,0.81255072221901,0.08442229777574539,False,False,False
4,True,test--train,Tomato___Spider_mites Two-spotted_spider_mite,train\Tomato___Spider_mites Two-spotted_spider_mite\fa0f71aa-5583-4376-ab17-a755cf065aaf___Com.G_SpM_FL 1520.JPG,train\Tomato___Spider_mites Two-spotted_spider_mite\fd71ebe5-4ce6-4b19-b71e-cb66b034c123___Com.G_SpM_FL 1282.JPG,Tomato___Spider_mites Two-spotted_spider_mite:::97.0,Tomato___Spider_mites Two-spotted_spider_mite:::38.0,False,0.858342707157135,0.545519807045533,0.1608084887266159,False,False,False
4,True,test--train,Peach___healthy,train\Peach___healthy\aecb767a-7f12-4e1d-b411-6cc558777243___Rutg._HL 3573.JPG,train\Peach___healthy\efa00530-b592-46d4-827a-1eb1a7498608___Rutg._HL 3619.JPG,Peach___healthy:::30.0,Peach___healthy:::37.0,False,0.8360065221786499,0.4797111223490617,0.14226259291172028,False,False,False
4,True,test--train,Tomato___Spider_mites Two-spotted_spider_mite,train\Tomato___Spider_mites Two-spotted_spider_mite\fa0f71aa-5583-4376-ab17-a755cf065aaf___Com.G_SpM_FL 1520.JPG,train\Tomato___Spider_mites Two-spotted_spider_mite\d83e3292-0be8-43b9-8215-4705a452a08a___Com.G_SpM_FL 1642.JPG,Tomato___Spider_mites Two-spotted_spider_mite:::97.0,Tomato___Spider_mites Two-spotted_spider_mite:::127.0,False,0.8338320851325989,0.5349132781954732,0.15868014097213745,False,False,False
2,True,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\4fd4fd59-b5ad-4ff5-9c3b-3d5c74a23361___Rut._Bact.S 0767.JPG,train\Peach___Bacterial_spot\50e07867-1835-4031-9752-b5c62bb94f12___Rut._Bact.S 1277.JPG,Peach___Bacterial_spot:::5.0,Peach___Bacterial_spot:::90.0,False,0.8275219202041626,0.6284557624781949,0.09617873281240463,False,False,False
4,True,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\4fd4fd59-b5ad-4ff5-9c3b-3d5c74a23361___Rut._Bact.S 0767.JPG,train\Peach___Bacterial_spot\a7b3c4d8-c94c-4cac-901b-fb6c9624e7a3___Rut._Bact.S 0970.JPG,Peach___Bacterial_spot:::5.0,Peach___Bacterial_spot:::39.0,False,0.8113276362419128,0.5894611948775286,0.12213492393493652,False,False,False
4,True,train--validation,Blueberry___healthy,train\Blueberry___healthy\a0fef3ff-ee9a-4e33-a5e2-7c09e93a727d___RS_HL 4948.JPG,val\Blueberry___healthy\8373d4c7-1978-4ec0-ab79-fccfefba9917___RS_HL 0313.JPG,Blueberry___healthy:::119.0,Blueberry___healthy:::1.0,False,0.8104172348976135,0.49232731479327846,0.1962359994649887,False,False,False
4,True,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\a2524d53-667b-49d1-bda8-8515143b1293___Rutg._Bact.S 2300.JPG,train\Peach___Bacterial_spot\bd21eadc-29b3-41a2-8754-5c561d3aff4a___Rut._Bact.S 1448.JPG,Peach___Bacterial_spot:::322.0,Peach___Bacterial_spot:::118.0,False,0.750356137752533,0.5419502497821199,0.11931151151657104,False,False,False
4,True,train--validation,Peach___Bacterial_spot,train\Peach___Bacterial_spot\640a41e4-32af-417b-8055-00012097725f___Rut._Bact.S 0856.JPG,train\Peach___Bacterial_spot\a2f81059-9171-41d2-acca-ef3d02d81438___Rut._Bact.S 1209.JPG,Peach___Bacterial_spot:::20.0,Peach___Bacterial_spot:::79.0,False,0.7354522943496704,0.7008407441008141,0.1447540670633316,False,False,False
4,True,test--validation,Peach___Bacterial_spot,train\Peach___Bacterial_spot\09e1e0ed-2535-496e-885d-a51999b51820___Rut._Bact.S 0988.JPG,train\Peach___Bacterial_spot\ece1262c-6f66-4c46-bc59-7d2db3b27273___Rutg._Bact.S 2384.JPG,Peach___Bacterial_spot:::42.0,Peach___Bacterial_spot:::331.0,False,0.6999062299728394,0.4730188026995746,0.15936912596225739,False,False,False
