hamming_distance,strict_threshold_match,split_pair,class_name,path_a,path_b,leaf_id_a,leaf_id_b,involves_unmapped_leaf
3,True,train--validation,Tomato___Tomato_Yellow_Leaf_Curl_Virus,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1d7ce115-b719-4236-948f-5640817b43c3___UF.GRC_YLCV_Lab 02829.JPG,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\8d6df373-91b8-4ae8-b358-e9d57a6f3d54___UF.GRC_YLCV_Lab 02828.JPG,,,True
3,True,train--validation,Tomato___healthy,train\Tomato___healthy\16c1b712-2c55-4a8d-899f-cc0e725d4835___GH_HL Leaf 314.JPG,train\Tomato___healthy\264a08a7-74a4-4492-aff1-8a3ab8b35c46___GH_HL Leaf 314.1.JPG,,,True
4,True,test--train,Corn_(maize)___Northern_Leaf_Blight,train\Corn_(maize)___Northern_Leaf_Blight\9943cc83-f708-487b-b45e-a9ac23ee3973___RS_NLB 4045.JPG,train\Corn_(maize)___Northern_Leaf_Blight\3513a96e-7db5-4a2b-9dd8-79847c92e75b___RS_NLB 4045 copy 2.jpg,,,True
4,True,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\ffc0847a-e88d-4332-8c7c-4b63ba65a471___FAM_B.Msls 1130.JPG,train\Grape___Esca_(Black_Measles)\49c6ee9e-8bc4-4187-82db-b9caba8bb168___FAM_B.Msls 1134.JPG,Grape___Esca_(Black_Measles):::77.0,Grape___Esca_(Black_Measles):::78.0,False
4,True,test--train,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),train\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\c08c3e56-4192-40a6-9b51-8733e642dafa___FAM_L.Blight 1422.JPG,train\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\9be77817-23c5-469e-8363-eb1d115f9bb0___FAM_L.Blight 1470.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot):::28.0,Grape___Leaf_blight_(Isariopsis_Leaf_Spot):::40.0,False
4,True,test--train,Grape___healthy,train\Grape___healthy\94ff1dad-4284-4b83-ae37-988cc12c2006___Mt.N.V_HL 8939.JPG,train\Grape___healthy\dcf0b467-3d86-49b9-991e-00f5b82465c7___Mt.N.V_HL 8935.JPG,,,True
4,True,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\11281e98-333a-4252-9e79-be353024a033___CREC_HLB 4776.JPG,train\Orange___Haunglongbing_(Citrus_greening)\67c00966-9be7-4fea-a944-9e936837e3de___CREC_HLB 4766.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_226.0,Orange___Haunglongbing_(Citrus_greening):::OCT_224.0,False
4,True,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\7dc7d750-5166-4466-8d19-1065d6d53966___CREC_HLB 4859.JPG,val\Orange___Haunglongbing_(Citrus_greening)\f9f6905b-f565-4c06-ac24-bcf49604a07a___CREC_HLB 4567.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_247.0,Orange___Haunglongbing_(Citrus_greening):::OCT_175.0,False
4,True,test--train,Orange___Haunglongbing_(Citrus_greening),val\Orange___Haunglongbing_(Citrus_greening)\634f2182-7b79-4cd4-8272-316e26c2a855___CREC_HLB 4160.JPG,train\Orange___Haunglongbing_(Citrus_greening)\ba8af517-ae00-474e-b6a7-9b5031419cf4___CREC_HLB 4220.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_74.0,Orange___Haunglongbing_(Citrus_greening):::OCT_89.0,False
4,True,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\4fd4fd59-b5ad-4ff5-9c3b-3d5c74a23361___Rut._Bact.S 0767.JPG,train\Peach___Bacterial_spot\a7b3c4d8-c94c-4cac-901b-fb6c9624e7a3___Rut._Bact.S 0970.JPG,Peach___Bacterial_spot:::5.0,Peach___Bacterial_spot:::39.0,False
4,True,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\a2524d53-667b-49d1-bda8-8515143b1293___Rutg._Bact.S 2300.JPG,train\Peach___Bacterial_spot\bd21eadc-29b3-41a2-8754-5c561d3aff4a___Rut._Bact.S 1448.JPG,Peach___Bacterial_spot:::322.0,Peach___Bacterial_spot:::118.0,False
4,True,test--train,Peach___healthy,train\Peach___healthy\aecb767a-7f12-4e1d-b411-6cc558777243___Rutg._HL 3573.JPG,train\Peach___healthy\efa00530-b592-46d4-827a-1eb1a7498608___Rutg._HL 3619.JPG,Peach___healthy:::30.0,Peach___healthy:::37.0,False
4,True,test--train,Soybean___healthy,val\Soybean___healthy\1920024b-9501-4176-bbca-456a07697894___RS_HL 3489.JPG,train\Soybean___healthy\2f99080a-2e4d-4d11-b658-8f60f64931cb___RS_HL 7161.JPG,Soybean___healthy:::86.0,Soybean___healthy:::476.0,False
4,True,test--train,Tomato___Spider_mites Two-spotted_spider_mite,train\Tomato___Spider_mites Two-spotted_spider_mite\fa0f71aa-5583-4376-ab17-a755cf065aaf___Com.G_SpM_FL 1520.JPG,train\Tomato___Spider_mites Two-spotted_spider_mite\d83e3292-0be8-43b9-8215-4705a452a08a___Com.G_SpM_FL 1642.JPG,Tomato___Spider_mites Two-spotted_spider_mite:::97.0,Tomato___Spider_mites Two-spotted_spider_mite:::127.0,False
4,True,test--train,Tomato___Spider_mites Two-spotted_spider_mite,train\Tomato___Spider_mites Two-spotted_spider_mite\fa0f71aa-5583-4376-ab17-a755cf065aaf___Com.G_SpM_FL 1520.JPG,train\Tomato___Spider_mites Two-spotted_spider_mite\fd71ebe5-4ce6-4b19-b71e-cb66b034c123___Com.G_SpM_FL 1282.JPG,Tomato___Spider_mites Two-spotted_spider_mite:::97.0,Tomato___Spider_mites Two-spotted_spider_mite:::38.0,False
4,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\08f78a80-46f5-45a6-937c-4d05d61c08c2___UF.GRC_YLCV_Lab 01895.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1240c7a7-a64a-4659-8849-5451c205208d___UF.GRC_YLCV_Lab 01888.JPG,,,True
4,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\3809d16d-8e37-4acc-a22b-8089903525e1___UF.GRC_YLCV_Lab 02457.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\def16316-85f6-44e8-98fc-e48820caf2d9___UF.GRC_YLCV_Lab 02471.JPG,,,True
4,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\5741aac8-276f-4654-afc7-ebb939c3d4b8___UF.GRC_YLCV_Lab 02665.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\ea824bff-58c4-402e-936c-70bc49912701___UF.GRC_YLCV_Lab 02667.JPG,,,True
4,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\89f4ab7d-764f-4df5-b244-51c50ce68836___UF.GRC_YLCV_Lab 01460.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\a193e214-3a19-410d-8467-63eafff67aea___UF.GRC_YLCV_Lab 01457.JPG,,,True
4,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\b379ab04-3780-4283-b388-2a038b773d79___UF.GRC_YLCV_Lab 01389.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\19ead445-c37c-4a22-b3fb-02510e66b553___UF.GRC_YLCV_Lab 01388.JPG,,,True
4,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\180ef991-3ed2-41d8-93b6-c1791d745669___UF.GRC_YLCV_Lab 01678.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f390848d-e427-4c8e-8e93-0772e9f91fc8___UF.GRC_YLCV_Lab 01668.JPG,,,True
4,True,test--train,Tomato___healthy,val\Tomato___healthy\8d4a3b2d-bcef-4861-a0a0-c3cb0a1990ce___GH_HL Leaf 204.JPG,train\Tomato___healthy\973c9431-f521-462d-82fa-442196087ca8___GH_HL Leaf 204.1.JPG,,,True
4,True,test--validation,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\43a17ced-e9e8-459d-9bc3-65e8fafa75c0___CREC_HLB 3935.JPG,train\Orange___Haunglongbing_(Citrus_greening)\e5e2cdea-35bb-4833-a48a-88bfdf0e9ab0___CREC_HLB 7571.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_18.0,Orange___Haunglongbing_(Citrus_greening):::OCT_752.0,False
4,True,test--validation,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\58bafe86-441f-4cba-a6e7-5dd2cdec7ebf___UF.Citrus_HLB_Lab 1749.JPG,val\Orange___Haunglongbing_(Citrus_greening)\f3f03566-1426-45b3-a65d-020f82dabf9a___UF.Citrus_HLB_Lab 1533.JPG,Orange___Haunglongbing_(Citrus_greening):::110.0,Orange___Haunglongbing_(Citrus_greening):::96.0,False
4,True,test--validation,Peach___Bacterial_spot,train\Peach___Bacterial_spot\09e1e0ed-2535-496e-885d-a51999b51820___Rut._Bact.S 0988.JPG,train\Peach___Bacterial_spot\ece1262c-6f66-4c46-bc59-7d2db3b27273___Rutg._Bact.S 2384.JPG,Peach___Bacterial_spot:::42.0,Peach___Bacterial_spot:::331.0,False
4,True,train--validation,Blueberry___healthy,train\Blueberry___healthy\a0fef3ff-ee9a-4e33-a5e2-7c09e93a727d___RS_HL 4948.JPG,val\Blueberry___healthy\8373d4c7-1978-4ec0-ab79-fccfefba9917___RS_HL 0313.JPG,Blueberry___healthy:::119.0,Blueberry___healthy:::1.0,False
4,True,train--validation,Peach___Bacterial_spot,train\Peach___Bacterial_spot\640a41e4-32af-417b-8055-00012097725f___Rut._Bact.S 0856.JPG,train\Peach___Bacterial_spot\a2f81059-9171-41d2-acca-ef3d02d81438___Rut._Bact.S 1209.JPG,Peach___Bacterial_spot:::20.0,Peach___Bacterial_spot:::79.0,False
4,True,train--validation,Tomato___Late_blight,train\Tomato___Late_blight\7f533ee8-1d72-486e-b2a6-b5ef2ac7cc88___GHLB2 Leaf 8837.JPG,train\Tomato___Late_blight\2159d0f7-09ef-46ad-ad49-749e8ce1becc___GHLB2 Leaf 8836.JPG,,,True
4,True,train--validation,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\906f8e46-f387-4d39-9d7d-08df032222e0___UF.GRC_YLCV_Lab 02498.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\fa16f530-1e23-4a86-acb1-1ff53dd49e37___UF.GRC_YLCV_Lab 02499.JPG,,,True
5,False,test--train,Blueberry___healthy,train\Blueberry___healthy\17f38da5-9764-456e-9c16-436ec1d69041___RS_HL 0590.JPG,train\Blueberry___healthy\3eaddffc-ef51-4751-98d9-5ddb823d0a3f___RS_HL 4880.JPG,Blueberry___healthy:::38.0,Blueberry___healthy:::113.0,False
5,False,test--train,Blueberry___healthy,train\Blueberry___healthy\1fcae89c-5c2b-421e-b176-d99d1db62147___RS_HL 5271.JPG,train\Blueberry___healthy\16919066-e552-4c24-801a-52765e15c411___RS_HL 5212.JPG,Blueberry___healthy:::144.0,Blueberry___healthy:::139.0,False
5,False,test--train,Blueberry___healthy,train\Blueberry___healthy\276eefe5-2742-4610-9d6a-7d22083d10b1___RS_HL 5285.JPG,train\Blueberry___healthy\8660d440-2f8a-4822-8a7a-af4a38f31f68___RS_HL 5210.JPG,Blueberry___healthy:::144.0,Blueberry___healthy:::139.0,False
5,False,test--train,Blueberry___healthy,val\Blueberry___healthy\fe4de3f6-ef8e-4e3f-b180-f8dd1c3d54cc___RS_HL 0591.JPG,train\Blueberry___healthy\3eaddffc-ef51-4751-98d9-5ddb823d0a3f___RS_HL 4880.JPG,Blueberry___healthy:::38.0,Blueberry___healthy:::113.0,False
5,False,test--train,Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\0ce4ee15-d59b-4212-ab2a-8b6a07f3634f___JR_HL 9707.JPG,train\Cherry_(including_sour)___healthy\40dce93a-7697-4c0d-b37d-e3147c7ece78___JR_HL 9464.JPG,Cherry_(including_sour)___healthy:::77.0,Cherry_(including_sour)___healthy:::45.0,False
5,False,test--train,Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\0ce4ee15-d59b-4212-ab2a-8b6a07f3634f___JR_HL 9707.JPG,train\Cherry_(including_sour)___healthy\90546341-6ac6-434c-8cb4-ec2e1a0e515e___JR_HL 9448.JPG,Cherry_(including_sour)___healthy:::77.0,Cherry_(including_sour)___healthy:::43.0,False
5,False,test--train,Cherry_(including_sour)___healthy,val\Cherry_(including_sour)___healthy\0bfa6184-b84f-4d8e-9910-74abd315009a___JR_HL 9480.JPG,train\Cherry_(including_sour)___healthy\aac1e835-defb-45dd-b439-986ad949f684___JR_HL 9442.JPG,Cherry_(including_sour)___healthy:::47.0,Cherry_(including_sour)___healthy:::42.0,False
5,False,test--train,Corn_(maize)___Common_rust_,train\Corn_(maize)___Common_rust_\RS_Rust 2601.JPG,train\Corn_(maize)___Common_rust_\RS_Rust 2681.JPG,,,True
5,False,test--train,Grape___Black_rot,train\Grape___Black_rot\b055115b-4eb8-4126-9db9-94d48b97fa30___FAM_B.Rot 3620.JPG,val\Grape___Black_rot\a729f8d8-c001-490e-a057-bd6083b00ed6___FAM_B.Rot 3106.JPG,Grape___Black_rot:::267.0,Grape___Black_rot:::139.0,False
5,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\2ce9e0cd-d0d9-4def-a65d-a65cbfacc99c___FAM_B.Msls 4044.JPG,train\Grape___Esca_(Black_Measles)\745199f2-8c97-4889-b8c7-48fc4959546d___FAM_B.Msls 0984.JPG,Grape___Esca_(Black_Measles):::234.0,Grape___Esca_(Black_Measles):::41.0,False
5,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\82be01ff-9e82-428c-b623-95df7ed11f77___FAM_B.Msls 1880.JPG,val\Grape___Esca_(Black_Measles)\d0f85383-4cd9-4562-9978-206cbbf7d22a___FAM_B.Msls 1876.JPG,Grape___Esca_(Black_Measles):::171.0,Grape___Esca_(Black_Measles):::170.0,False
5,False,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\02fc11bb-9218-4431-b8f7-c581354cd42b___CREC_HLB 3944.JPG,train\Orange___Haunglongbing_(Citrus_greening)\b56bbe7e-eb08-4e89-a644-cbbbc2d236d2___CREC_HLB 4108.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_20.0,Orange___Haunglongbing_(Citrus_greening):::OCT_61.0,False
5,False,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\02fc11bb-9218-4431-b8f7-c581354cd42b___CREC_HLB 3944.JPG,train\Orange___Haunglongbing_(Citrus_greening)\e662be4c-5ad3-48c8-a250-310a4726a0b7___CREC_HLB 5581.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_20.0,Orange___Haunglongbing_(Citrus_greening):::OCT_427.0,False
5,False,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\0473880a-569c-48e8-942b-18e257dd517f___CREC_HLB 7770.JPG,train\Orange___Haunglongbing_(Citrus_greening)\dc1601b5-e642-4517-bad8-6d62504fb39b___CREC_HLB 7277.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_801.0,Orange___Haunglongbing_(Citrus_greening):::OCT_680.0,False
5,False,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\2710c8f8-deb3-4182-a1d4-824d9e8192b0___CREC_HLB 5398.JPG,train\Orange___Haunglongbing_(Citrus_greening)\9f5baea2-2e3d-477a-9f71-533564199551___CREC_HLB 7436.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_381.0,Orange___Haunglongbing_(Citrus_greening):::OCT_719.0,False
5,False,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\43a17ced-e9e8-459d-9bc3-65e8fafa75c0___CREC_HLB 3935.JPG,train\Orange___Haunglongbing_(Citrus_greening)\b63f931e-8dad-462a-afa7-fcbca4ce958a___CREC_HLB 4002.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_18.0,Orange___Haunglongbing_(Citrus_greening):::OCT_34.0,False
5,False,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\43a17ced-e9e8-459d-9bc3-65e8fafa75c0___CREC_HLB 3935.JPG,train\Orange___Haunglongbing_(Citrus_greening)\f0ade6d4-9a61-4f49-8b6f-b97bfa8d3005___CREC_HLB 3999.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_18.0,Orange___Haunglongbing_(Citrus_greening):::OCT_34.0,False
5,False,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\64992a88-4df8-49c0-a953-a27347d414a2___CREC_HLB 4050.JPG,val\Orange___Haunglongbing_(Citrus_greening)\45c0bc4d-7407-4303-8b50-c2ca9d0a8f7c___CREC_HLB 3904.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_46.0,Orange___Haunglongbing_(Citrus_greening):::OCT_10.0,False
5,False,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\941a6300-ea46-4a3f-b437-9a534950ef72___CREC_HLB 4299.JPG,train\Orange___Haunglongbing_(Citrus_greening)\7a20cef7-8a79-47e1-a594-91feb5026c2b___CREC_HLB 4771.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_109.0,Orange___Haunglongbing_(Citrus_greening):::OCT_225.0,False
5,False,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\f47a374c-049a-4ecf-bc55-4bb1d8740c60___CREC_HLB 4161.JPG,train\Orange___Haunglongbing_(Citrus_greening)\1a17402a-fff5-49a7-aa74-a615afc2e38c___CREC_HLB 4221.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_74.0,Orange___Haunglongbing_(Citrus_greening):::OCT_89.0,False
5,False,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\f79d8094-4b75-48f6-8c9b-a3fd671931ee___CREC_HLB 3966.JPG,train\Orange___Haunglongbing_(Citrus_greening)\5033d61f-02be-42c5-9ef6-1c5a9605818d___CREC_HLB 4477.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_25.0,Orange___Haunglongbing_(Citrus_greening):::OCT_152.0,False
5,False,test--train,Orange___Haunglongbing_(Citrus_greening),val\Orange___Haunglongbing_(Citrus_greening)\f070d737-e9f9-4282-84d2-e97b96077033___UF.Citrus_HLB_Lab 9945.JPG,train\Orange___Haunglongbing_(Citrus_greening)\0fb822ff-0c01-4f1e-badd-e9fc0d2c76c8___UF.Citrus_HLB_Lab 0426.JPG,Orange___Haunglongbing_(Citrus_greening):::143.0,Orange___Haunglongbing_(Citrus_greening):::31.0,False
5,False,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\485e0319-4f79-4504-b3eb-8c3f2dcc0c3e___Rut._Bact.S 0750.JPG,train\Peach___Bacterial_spot\d9dc64d7-43ff-40d9-93ff-fcec68cfc25f___Rut._Bact.S 0771.JPG,Peach___Bacterial_spot:::2.0,Peach___Bacterial_spot:::6.0,False
5,False,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\4fd4fd59-b5ad-4ff5-9c3b-3d5c74a23361___Rut._Bact.S 0767.JPG,train\Peach___Bacterial_spot\44881fe3-0d2a-449f-a8a5-e721d6213295___Rut._Bact.S 1275.JPG,Peach___Bacterial_spot:::5.0,Peach___Bacterial_spot:::90.0,False
5,False,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\6e8fcc4e-ec8c-4e20-97c6-f974fcb9c502___Rutg._Bact.S 2035.JPG,train\Peach___Bacterial_spot\a401561d-e4f3-453b-a4eb-21aa0ff12811___Rutg._Bact.S 2205.JPG,Peach___Bacterial_spot:::291.0,Peach___Bacterial_spot:::311.0,False
5,False,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\767e3ee3-996b-48f9-b587-0b19e0eb3569___Rut._Bact.S 1451.JPG,train\Peach___Bacterial_spot\291f3f11-bfc6-4ad6-8c69-c2de933f6f7b___Rut._Bact.S 1460.JPG,Peach___Bacterial_spot:::119.0,Peach___Bacterial_spot:::120.0,False
5,False,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\98183a48-add3-4b6f-b771-dde3b5150c42___Rut._Bact.S 1238.JPG,train\Peach___Bacterial_spot\1ce95fc0-f6dc-4097-baf3-9a0ae9a187a7___Rut._Bact.S 1546.JPG,Peach___Bacterial_spot:::84.0,Peach___Bacterial_spot:::135.0,False
5,False,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\a2524d53-667b-49d1-bda8-8515143b1293___Rutg._Bact.S 2300.JPG,val\Peach___Bacterial_spot\31aaac25-f85e-42d3-ae30-46e6f5dc76a6___Rutg._Bact.S 1944.JPG,Peach___Bacterial_spot:::322.0,Peach___Bacterial_spot:::281.0,False
5,False,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\b2db309a-d37e-4093-a825-c119d3248c86___Rut._Bact.S 0785.JPG,train\Peach___Bacterial_spot\d9dc64d7-43ff-40d9-93ff-fcec68cfc25f___Rut._Bact.S 0771.JPG,Peach___Bacterial_spot:::8.0,Peach___Bacterial_spot:::6.0,False
5,False,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\b5592aa4-64fa-4d90-a772-df29748c3c99___Rut._Bact.S 1262.JPG,train\Peach___Bacterial_spot\e4edaeb8-c428-443b-aaaf-c317942a1be6___Rut._Bact.S 1045.JPG,Peach___Bacterial_spot:::88.0,Peach___Bacterial_spot:::51.0,False
5,False,test--train,Peach___Bacterial_spot,val\Peach___Bacterial_spot\468388a5-ddd5-42e3-8e19-27cc95675f78___Rut._Bact.S 1376.JPG,train\Peach___Bacterial_spot\32631f9d-5d1b-4e76-a662-adaf51a5c262___Rut._Bact.S 0745.JPG,Peach___Bacterial_spot:::106.0,Peach___Bacterial_spot:::1.0,False
5,False,test--train,Soybean___healthy,train\Soybean___healthy\2b05349b-e677-4184-9adf-136139174877___RS_HL 3736.JPG,train\Soybean___healthy\cc08e799-035e-4c08-b753-92e3863493e1___RS_HL 5526.JPG,Soybean___healthy:::110.0,Soybean___healthy:::315.0,False
5,False,test--train,Soybean___healthy,train\Soybean___healthy\35fe60e3-6cfc-4b9d-adba-c8a5732f627b___RS_HL 5324.JPG,train\Soybean___healthy\61fb21f5-d1fb-44e5-9a99-2a83b74c8c5a___RS_HL 6879.JPG,Soybean___healthy:::293.0,Soybean___healthy:::453.0,False
5,False,test--train,Soybean___healthy,train\Soybean___healthy\3f427423-b671-4c82-bc5b-ea1dda5014aa___RS_HL 5071.JPG,train\Soybean___healthy\d41726df-07b2-4588-b384-a855ea15ed83___RS_HL 3918.JPG,Soybean___healthy:::263.0,Soybean___healthy:::130.0,False
5,False,test--train,Soybean___healthy,train\Soybean___healthy\45b0bcf9-1f53-4414-9cb2-d54c519cabe3___RS_HL 5902.JPG,val\Soybean___healthy\7b2bb24b-70fc-40fe-92f1-993a2484727b___RS_HL 5839.JPG,Soybean___healthy:::371.0,Soybean___healthy:::368.0,False
