relative_path,true_index,true_class,predicted_index,predicted_class,confidence,true_class_probability,correct
train\Tomato___Early_blight\090af0e4-75f2-495a-8bca-a3370c6dd2a6___RS_Erly.B 9562.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.82627094,0.1731958,False
train\Tomato___Tomato_mosaic_virus\3b0a3f5d-ff2c-4c7b-a8b9-71d8daa6dd4f___PSU_CG 2097.JPG,36,Tomato___Tomato_mosaic_virus,33,Tomato___Spider_mites Two-spotted_spider_mite,0.8246573,0.15254627,False
train\Tomato___Target_Spot\6fcb11a8-c98b-49c1-9c07-31d15225d1fb___Com.G_TgS_FL 9796.JPG,34,Tomato___Target_Spot,24,Soybean___healthy,0.82350254,0.16152507,False
train\Potato___Late_blight\bd632f59-ff1c-452f-b504-053fa95ab000___RS_LB 4356.JPG,21,Potato___Late_blight,30,Tomato___Late_blight,0.8091435,0.1906928,False
val\Potato___Late_blight\65bab626-51a1-4d16-ab9c-ddd25f4e2e33___RS_LB 4927.JPG,21,Potato___Late_blight,30,Tomato___Late_blight,0.80913186,0.19069006,False
train\Peach___Bacterial_spot\6d4d2426-79e6-42df-bdcf-3abb16e803d9___Rut._Bact.S 3475.JPG,16,Peach___Bacterial_spot,30,Tomato___Late_blight,0.80695075,0.0031437334,False
train\Tomato___Septoria_leaf_spot\3ed40b55-9410-41c7-91cd-1e2f771d5888___Matt.S_CG 7723.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.80399376,0.19549386,False
train\Tomato___Early_blight\6c124f22-619b-44fc-a3d1-231286d4bfda___RS_Erly.B 6403.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.7939603,0.18457375,False
train\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\ad47f4e8-308f-4c56-b50b-19e4f7fedd6d___RS_GLSp 4583.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,9,Corn_(maize)___Northern_Leaf_Blight,0.7875063,0.21195443,False
train\Tomato___Septoria_leaf_spot\2e656e51-9eab-4873-9a8e-f27811215256___Matt.S_CG 2509.JPG,32,Tomato___Septoria_leaf_spot,18,"Pepper,_bell___Bacterial_spot",0.78655475,0.21087301,False
val\Tomato___Early_blight\1c29bc72-967e-46df-844b-467c95b298a3___RS_Erly.B 9549.JPG,29,Tomato___Early_blight,28,Tomato___Bacterial_spot,0.78459734,0.21533649,False
"train\Pepper,_bell___healthy\42f083e2-272d-4f83-ad9a-573ee90e50ec___Screen Shot 2015-05-06 at 4.01.13 PM.png",19,"Pepper,_bell___healthy",29,Tomato___Early_blight,0.7783398,0.00023681097,False
val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\26308383-47d1-4bff-b79a-adebe7aeddc3___UF.GRC_YLCV_Lab 08535.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,28,Tomato___Bacterial_spot,0.77500474,0.22465995,False
train\Tomato___Target_Spot\c47c2e46-e1ec-4359-ae0b-5e8b89dbd32f___Com.G_TgS_FL 9795.JPG,34,Tomato___Target_Spot,37,Tomato___healthy,0.7716992,0.103221394,False
train\Tomato___Early_blight\f7beb64a-f8be-46d8-b4ea-637fb71e7509___RS_Erly.B 7711.JPG,29,Tomato___Early_blight,34,Tomato___Target_Spot,0.7686085,0.22808948,False
val\Peach___Bacterial_spot\c715c01f-aa82-4685-9fca-5d2d46c44228___Rut._Bact.S 0746.JPG,16,Peach___Bacterial_spot,3,Apple___healthy,0.7665652,0.09594689,False
val\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\a9e08234-c1be-4519-a3e3-dd8d9456fab0___RS_GLSp 7336.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,9,Corn_(maize)___Northern_Leaf_Blight,0.7621007,0.2333373,False
train\Tomato___Septoria_leaf_spot\3acde329-875f-4fab-b09f-513714612d5c___Matt.S_CG 7476.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.7598967,0.24004793,False
train\Tomato___Septoria_leaf_spot\d16a363b-66e1-4206-89f8-31b2b4fadd5b___Matt.S_CG 7491.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.7582846,0.23907132,False
train\Tomato___Septoria_leaf_spot\a90aa234-3af2-4fe7-b8eb-415427e16700___Matt.S_CG 2484.JPG,32,Tomato___Septoria_leaf_spot,18,"Pepper,_bell___Bacterial_spot",0.7578434,0.1807081,False
val\Tomato___Septoria_leaf_spot\3b0062a2-2013-4dc6-9d61-4c74ae4b295a___JR_Sept.L.S 2484.JPG,32,Tomato___Septoria_leaf_spot,18,"Pepper,_bell___Bacterial_spot",0.7484628,0.24972624,False
train\Tomato___Early_blight\b8421c32-9111-49c0-8e78-f86a9912ece4___RS_Erly.B 7706.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.7466721,0.23587036,False
train\Tomato___Target_Spot\502048b3-912d-4930-9dba-e2b6de5399ee___Com.G_TgS_FL 7868.JPG,34,Tomato___Target_Spot,32,Tomato___Septoria_leaf_spot,0.7396058,0.030245274,False
val\Apple___Black_rot\3bf50ea4-980e-471b-bbd1-fc0c526dbb7a___JR_FrgE.S 2905.JPG,1,Apple___Black_rot,30,Tomato___Late_blight,0.73345697,0.042236157,False
val\Apple___Black_rot\f1844803-f6fb-4cfb-851e-b9095fb40c9e___JR_FrgE.S 2898.JPG,1,Apple___Black_rot,30,Tomato___Late_blight,0.71861786,0.25429916,False
train\Potato___Late_blight\f3ee2886-4ada-4287-94b6-c4c93005b887___RS_LB 4352.JPG,21,Potato___Late_blight,30,Tomato___Late_blight,0.7180967,0.2790223,False
train\Tomato___Septoria_leaf_spot\75766b07-f03c-4c54-bd34-05fecb240dbf___Matt.S_CG 7466.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.7179119,0.068409845,False
train\Tomato___Target_Spot\b9e0a7ff-7055-4184-a8bd-ff4321dc8dee___Com.G_TgS_FL 7866.JPG,34,Tomato___Target_Spot,32,Tomato___Septoria_leaf_spot,0.7142037,0.0688083,False
val\Corn_(maize)___Northern_Leaf_Blight\e8527ec9-d83a-49c6-b0ed-1833e6350e23___RS_NLB 3796.JPG,9,Corn_(maize)___Northern_Leaf_Blight,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7064255,0.28991646,False
train\Apple___healthy\fcc4c8a4-2177-4a08-a785-063497dfd121___RS_HL 5844.JPG,3,Apple___healthy,1,Apple___Black_rot,0.6868549,0.25968432,False
train\Tomato___Early_blight\bec8a4aa-dd9c-44db-815a-c760d49a8868___RS_Erly.B 7680.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.6823588,0.31732634,False
train\Tomato___Spider_mites Two-spotted_spider_mite\cb50c515-6885-4fc5-903e-b9fbac229a37___Com.G_SpM_FL 1667.JPG,33,Tomato___Spider_mites Two-spotted_spider_mite,34,Tomato___Target_Spot,0.6756357,0.31297484,False
val\Corn_(maize)___Northern_Leaf_Blight\0527ab7c-4ebe-4fd5-8254-ceea1b147005___RS_NLB 3925.JPG,9,Corn_(maize)___Northern_Leaf_Blight,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.67220896,0.3187718,False
train\Tomato___Early_blight\73cf82cf-a099-4243-a7a6-b06c79eedb65___RS_Erly.B 7412.JPG,29,Tomato___Early_blight,34,Tomato___Target_Spot,0.6714445,0.3259601,False
train\Tomato___Early_blight\e31c2f10-8b8d-4aec-9bc7-764d2995ebec___RS_Erly.B 7398.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.6703997,0.3292893,False
train\Corn_(maize)___Common_rust_\RS_Rust 2205.JPG,8,Corn_(maize)___Common_rust_,9,Corn_(maize)___Northern_Leaf_Blight,0.6690237,0.32351875,False
train\Corn_(maize)___Northern_Leaf_Blight\ecaf0f9a-338f-4065-bc84-7185d8394552___RS_NLB 3898.JPG,9,Corn_(maize)___Northern_Leaf_Blight,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.66894996,0.3285772,False
val\Apple___Black_rot\e7cca27e-405c-4b21-9e61-f0c3ca6ee1c4___JR_FrgE.S 2977.JPG,1,Apple___Black_rot,3,Apple___healthy,0.63607645,0.1267273,False
train\Tomato___Spider_mites Two-spotted_spider_mite\3046afbf-4a9a-41fb-a64f-3f9e75af08e7___Com.G_SpM_FL 1623.JPG,33,Tomato___Spider_mites Two-spotted_spider_mite,34,Tomato___Target_Spot,0.6360654,0.35402375,False
train\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\bc690bb9-1611-4744-844d-0ab174467f54___RS_GLSp 4582.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,9,Corn_(maize)___Northern_Leaf_Blight,0.6276774,0.37188655,False
train\Tomato___Early_blight\3d9a4538-4797-45fe-8cff-104237e19368___RS_Erly.B 7729.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.6012708,0.24567902,False
train\Strawberry___Leaf_scorch\5297eecc-3b42-42e6-87af-d01be13b3052___RS_L.Scorch 9910.JPG,26,Strawberry___Leaf_scorch,29,Tomato___Early_blight,0.5962039,0.112516776,False
train\Tomato___Target_Spot\feb1b0d0-aa78-4ba8-93a1-384229fc92fd___Com.G_TgS_FL 0715.JPG,34,Tomato___Target_Spot,37,Tomato___healthy,0.5950627,0.37165412,False
train\Tomato___Tomato_mosaic_virus\847307bc-58ab-45fc-8001-f1e07a38bc82___PSU_CG 2065.JPG,36,Tomato___Tomato_mosaic_virus,33,Tomato___Spider_mites Two-spotted_spider_mite,0.5852166,0.41336283,False
val\Tomato___Target_Spot\a8c2dd2d-45fc-4ab3-8726-95df9a7790a0___Com.G_TgS_FL 0662.JPG,34,Tomato___Target_Spot,37,Tomato___healthy,0.5851801,0.37341893,False
val\Apple___healthy\c89af5ca-be92-4d72-af08-56598771c4c3___RS_HL 5695.JPG,3,Apple___healthy,6,Cherry_(including_sour)___healthy,0.5792453,0.003808792,False
train\Cherry_(including_sour)___Powdery_mildew\e3d5a32d-3567-44f4-8ea2-79b413214a6d___FREC_Pwd.M 5144.JPG,5,Cherry_(including_sour)___Powdery_mildew,30,Tomato___Late_blight,0.56398964,0.30828723,False
val\Tomato___Septoria_leaf_spot\52b3119d-4f5e-41b0-948f-7a1d3b1341eb___JR_Sept.L.S 8495.JPG,32,Tomato___Septoria_leaf_spot,24,Soybean___healthy,0.56364053,0.28731772,False
train\Tomato___Target_Spot\0ff11bec-6751-47dc-86a0-cf28682f13d3___Com.G_TgS_FL 7907.JPG,34,Tomato___Target_Spot,0,Apple___Apple_scab,0.5407693,0.021718163,False
val\Apple___Black_rot\01e94c43-0879-4e8c-9b61-c48cfed88dab___JR_FrgE.S 3024.JPG,1,Apple___Black_rot,27,Strawberry___healthy,0.5354181,0.35666537,False
train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f3182576-f0d3-4412-a4e1-45e143e360a0___UF.GRC_YLCV_Lab 02462.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,28,Tomato___Bacterial_spot,0.53093046,0.46854448,False
train\Corn_(maize)___Northern_Leaf_Blight\5f0d808c-526d-44be-b7f5-f87cbb333168___RS_NLB 3943.JPG,9,Corn_(maize)___Northern_Leaf_Blight,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.5290276,0.47052684,False
"val\Pepper,_bell___Bacterial_spot\f3cdfb4a-f1d9-4f95-a036-5a9fb585e570___JR_B.Spot 3110.JPG",18,"Pepper,_bell___Bacterial_spot",15,Orange___Haunglongbing_(Citrus_greening),0.5275692,0.46557817,False
train\Tomato___Tomato_mosaic_virus\c7f8e876-66c2-4014-82a4-47d4556bfb7d___PSU_CG 2418.JPG,36,Tomato___Tomato_mosaic_virus,34,Tomato___Target_Spot,0.49695763,0.27822402,False
train\Peach___healthy\789d2e40-b2fc-45d0-81e6-b210f09ac71e___Rutg._HL 2463.JPG,17,Peach___healthy,3,Apple___healthy,0.49504483,0.28096837,False
train\Tomato___Tomato_mosaic_virus\afd8bd61-a7fe-4ee1-8cf8-afa0c116d751___PSU_CG 2391.JPG,36,Tomato___Tomato_mosaic_virus,32,Tomato___Septoria_leaf_spot,0.49385238,0.46940005,False
train\Tomato___Early_blight\7b32caa4-0d67-4b84-a1bf-cf9dffd7ffe5___RS_Erly.B 6405.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.47556046,0.47370645,False
val\Tomato___Tomato_mosaic_virus\bdcbce9a-e672-47e2-97d0-1b4e7e57f188___PSU_CG 2403.JPG,36,Tomato___Tomato_mosaic_virus,31,Tomato___Leaf_Mold,0.46973068,0.37891644,False
val\Tomato___Target_Spot\907d3187-4443-47c6-a006-5683efdc3f95___Com.G_TgS_FL 0705.JPG,34,Tomato___Target_Spot,32,Tomato___Septoria_leaf_spot,0.40308356,0.2502803,False
train\Apple___healthy\99b369d2-fa9b-4d3b-8516-462dbae8561a___RS_HL 7242.JPG,3,Apple___healthy,15,Orange___Haunglongbing_(Citrus_greening),0.34831634,0.16582343,False
val\Tomato___Target_Spot\0fe6221c-5848-4000-afc6-5a10422dd300___Com.G_TgS_FL 9772.JPG,34,Tomato___Target_Spot,19,"Pepper,_bell___healthy",0.34275138,0.24856797,False
