relative_path,true_index,true_class,predicted_index,predicted_class,confidence,true_class_probability,correct
train\Tomato___Early_blight\4c927622-ea22-4718-8e36-319218ee53bf___RS_Erly.B 7712.JPG,29,Tomato___Early_blight,34,Tomato___Target_Spot,0.49838555,0.4952596,False
train\Tomato___Early_blight\d44e75f7-59ac-4296-ac62-893125ddf04e___RS_Erly.B 7856.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.4982456,0.473961,False
train\Tomato___Early_blight\2b7c8b0d-d906-4c93-9dc4-554ae46a3ec3___RS_Erly.B 7825.JPG,29,Tomato___Early_blight,34,Tomato___Target_Spot,0.49624646,0.48309988,False
"train\Pepper,_bell___healthy\42f083e2-272d-4f83-ad9a-573ee90e50ec___Screen Shot 2015-05-06 at 4.01.13 PM.png",19,"Pepper,_bell___healthy",37,Tomato___healthy,0.4956699,0.00012539027,False
train\Tomato___Early_blight\7b32caa4-0d67-4b84-a1bf-cf9dffd7ffe5___RS_Erly.B 6405.JPG,29,Tomato___Early_blight,32,Tomato___Septoria_leaf_spot,0.49544272,0.23777634,False
"train\Pepper,_bell___Bacterial_spot\28462e1b-741c-4949-884f-e5c35375dab4___JR_B.Spot 3111.JPG",18,"Pepper,_bell___Bacterial_spot",32,Tomato___Septoria_leaf_spot,0.48677304,0.029548489,False
val\Soybean___healthy\b32e4516-9cd7-4226-be52-26f413c97834___RS_HL 3512.JPG,24,Soybean___healthy,10,Corn_(maize)___healthy,0.47788534,0.008190995,False
train\Tomato___Early_blight\1bdb9ab4-1a7a-449a-b848-c446d7615d42___RS_Erly.B 8443.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.47480333,0.47279817,False
train\Tomato___Target_Spot\1acc1730-96e3-476d-a25a-2c0de0a8df74___Com.G_TgS_FL 8228.JPG,34,Tomato___Target_Spot,37,Tomato___healthy,0.45803532,0.43681383,False
train\Tomato___Early_blight\29fb6588-a368-4143-9cdd-8a131f0d50f4___RS_Erly.B 7779.JPG,29,Tomato___Early_blight,32,Tomato___Septoria_leaf_spot,0.4537462,0.05055779,False
train\Tomato___Early_blight\b8421c32-9111-49c0-8e78-f86a9912ece4___RS_Erly.B 7706.JPG,29,Tomato___Early_blight,37,Tomato___healthy,0.44796106,0.1368298,False
train\Tomato___Early_blight\e31c2f10-8b8d-4aec-9bc7-764d2995ebec___RS_Erly.B 7398.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.43796113,0.4314475,False
train\Tomato___Target_Spot\90939ea0-9f49-4b33-be99-8a36bd719b94___Com.G_TgS_FL 7918.JPG,34,Tomato___Target_Spot,30,Tomato___Late_blight,0.42809013,0.15294185,False
train\Tomato___Spider_mites Two-spotted_spider_mite\d9d22025-cee6-4963-ac70-bfa8a7af30a2___Com.G_SpM_FL 1624.JPG,33,Tomato___Spider_mites Two-spotted_spider_mite,37,Tomato___healthy,0.41083086,0.22350556,False
train\Peach___healthy\789d2e40-b2fc-45d0-81e6-b210f09ac71e___Rutg._HL 2463.JPG,17,Peach___healthy,3,Apple___healthy,0.40406486,0.30239064,False
train\Peach___Bacterial_spot\6d4d2426-79e6-42df-bdcf-3abb16e803d9___Rut._Bact.S 3475.JPG,16,Peach___Bacterial_spot,30,Tomato___Late_blight,0.40364206,0.22247909,False
train\Raspberry___healthy\cd638182-5de8-428f-a1d5-8af938f5d280___Mary_HL 9264.JPG,23,Raspberry___healthy,32,Tomato___Septoria_leaf_spot,0.38133767,0.3733658,False
